x	y	g	gxx	gyy	gzz	gxy	gxz	gyz	
2.5	21.5	-0.545299	-0.436137	1.76722	-1.33108	-0.183184	-3.05449	0.439591	
2.5	22.5	-0.540366	-0.445928	1.73158	-1.28565	-0.26282	-3.011	0.546063	
2.5	23.5	-0.534398	-0.453915	1.68753	-1.23361	-0.340833	-2.95885	0.646307	
2.5	24.5	-0.527463	-0.459746	1.63564	-1.17589	-0.416648	-2.89878	0.739581	
2.5	25.5	-0.519632	-0.463124	1.57657	-1.11345	-0.489693	-2.83159	0.825296	
2.5	26.5	-0.510983	-0.46382	1.51107	-1.04725	-0.559415	-2.75814	0.903024	
2.5	27.5	-0.501599	-0.461689	1.43996	-0.978276	-0.625302	-2.67928	0.97249	
2.5	28.5	-0.491562	-0.45667	1.36411	-0.907437	-0.686891	-2.5959	1.03357	
2.5	29.5	-0.480956	-0.448787	1.28439	-0.835607	-0.74379	-2.50886	1.08625	
2.5	30.5	-0.469864	-0.43814	1.20173	-0.763587	-0.795683	-2.41899	1.13068	
2.5	31.5	-0.458369	-0.424896	1.117	-0.692102	-0.842336	-2.3271	1.16707	
2.5	32.5	-0.446548	-0.409277	1.03107	-0.621793	-0.883605	-2.23393	1.19575	
2.5	33.5	-0.434478	-0.391547	0.94476	-0.553213	-0.919428	-2.1402	1.21711	
2.5	34.5	-0.422229	-0.371996	0.858824	-0.486829	-0.949821	-2.04653	1.23158	
2.5	35.5	-0.409868	-0.350931	0.773955	-0.423025	-0.974878	-1.95349	1.23966	
2.5	36.5	-0.397456	-0.328663	0.690768	-0.362105	-0.994753	-1.86161	1.24186	
2.5	37.5	-0.385049	-0.305497	0.609796	-0.304299	-1.00966	-1.77133	1.23871	
2.5	38.5	-0.372698	-0.281727	0.531497	-0.24977	-1.01985	-1.68302	1.23073	
2.5	39.5	-0.360448	-0.257627	0.456245	-0.198618	-1.02561	-1.597	1.21846	
2.5	40.5	-0.348341	-0.233447	0.38434	-0.150892	-1.02727	-1.51354	1.20241	
2.5	41.5	-0.336411	-0.209414	0.316008	-0.106594	-1.02514	-1.43285	1.18306	
